Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"RECQL","RecQ Like Helicase","Protein Coding","P46063","50","GC12M021468","6.19772434234619","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RECQL"
"CYP3A7","Cytochrome P450 Family 3 Subfamily A Member 7","Protein Coding","P24462","47","GC07M099705","6.196213722229","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP3A7"
"CHGA","Chromogranin A","Protein Coding","P10645","53","GC14P092990","6.19518184661865","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHGA"
"COX6A1","Cytochrome C Oxidase Subunit 6A1","Protein Coding","P12074","51","GC12P120443","6.19347286224365","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COX6A1"
"NEXN","Nexilin F-Actin Binding Protein","Protein Coding","Q0ZGT2","47","GC01P078022","6.19225168228149","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEXN"
"BCL2A1","BCL2 Related Protein A1","Protein Coding","Q16548","50","GC15M148332","6.19173049926758","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2A1"
"PAGE4","PAGE Family Member 4","Protein Coding","O60829","40","GC0XP049829","6.19160985946655","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAGE4"
"IGFBP5","Insulin Like Growth Factor Binding Protein 5","Protein Coding","P24593","51","GC02M216672","6.19075918197632","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGFBP5"
"CSK","C-Terminal Src Kinase","Protein Coding","P41240","55","GC15P074782","6.19034576416016","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSK"
"TRIM63","Tripartite Motif Containing 63","Protein Coding","Q969Q1","49","GC01M031027","6.19002819061279","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIM63"
"KRT13","Keratin 13","Protein Coding","P13646","51","GC17M041500","6.18916511535645","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT13"
"KRT2","Keratin 2","Protein Coding","P35908","48","GC12M052773","6.18906021118164","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT2"
"CD209","CD209 Molecule","Protein Coding","Q9NNX6","53","GC19M007739","6.18806600570679","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD209"
"TP53INP1","Tumor Protein P53 Inducible Nuclear Protein 1","Protein Coding","Q96A56","41","GC08M094925","6.18747138977051","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53INP1"
"BRD3","Bromodomain Containing 3","Protein Coding","Q15059","48","GC09M134030","6.18661260604858","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRD3"
"PF4","Platelet Factor 4","Protein Coding","P02776","50","GC04M073980","6.18618440628052","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PF4"
"NFATC3","Nuclear Factor Of Activated T Cells 3","Protein Coding","Q12968","50","GC16P068084","6.18083763122559","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFATC3"
"WNT2","Wnt Family Member 2","Protein Coding","P09544","53","GC07M117346","6.17982530593872","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WNT2"
"TOP2B","DNA Topoisomerase II Beta","Protein Coding","Q02880","53","GC03M026405","6.17950916290283","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TOP2B"
"DPP4","Dipeptidyl Peptidase 4","Protein Coding","P27487","58","GC02M161992","6.17930698394775","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DPP4"
"ADH1A","Alcohol Dehydrogenase 1A (Class I), Alpha Polypeptide","Protein Coding","P07327","51","GC04M099276","6.17423009872437","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADH1A"
"PLK3","Polo Like Kinase 3","Protein Coding","Q9H4B4","51","GC01P049867","6.17401361465454","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLK3"
"HOXD4","Homeobox D4","Protein Coding","P09016","41","GC02P176365","6.17381620407104","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOXD4"
"GSS","Glutathione Synthetase","Protein Coding","P48637","54","GC20M034928","6.17309379577637","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSS"
"CD79B","CD79b Molecule","Protein Coding","P40259","54","GC17M063928","6.17198038101196","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD79B"
"GTF3A","General Transcription Factor IIIA","Protein Coding","Q92664","42","GC13P027636","6.16937112808228","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GTF3A"
"MAP2K4","Mitogen-Activated Protein Kinase Kinase 4","Protein Coding","P45985","56","GC17P012020","6.1672797203064","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP2K4"
"MIR378A","MicroRNA 378a","RNA Gene","","29","GC05P149732","6.16593837738037","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR378A"
"ZBED1","Zinc Finger BED-Type Containing 1","Protein Coding","O96006","39","GC0XM002486","6.16563415527344","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZBED1"
"OXT","Oxytocin/Neurophysin I Prepropeptide","Protein Coding","P01178","47","GC20P008141","6.16075658798218","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OXT"
"PTGIS","Prostaglandin I2 Synthase","Protein Coding","Q16647","53","GC20M049503","6.16057062149048","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGIS"
"GLDC","Glycine Decarboxylase","Protein Coding","P23378","55","GC09M006522","6.15589952468872","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLDC"
"NONO","Non-POU Domain Containing Octamer Binding","Protein Coding","Q15233","53","GC0XP071259","6.15481090545654","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NONO"
"IL17F","Interleukin 17F","Protein Coding","Q96PD4","51","GC06M094117","6.1538290977478","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL17F"
"MT-TI","Mitochondrially Encoded TRNA-Ile (AUU/C)","RNA Gene","","19","GCMTP004265","6.15304374694824","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-TI"
"SLC5A1","Solute Carrier Family 5 Member 1","Protein Coding","P13866","55","GC22P032043","6.15256690979004","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC5A1"
"GPNMB","Glycoprotein Nmb","Protein Coding","Q14956","54","GC07P024082","6.15183448791504","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPNMB"
"ADH5","Alcohol Dehydrogenase 5 (Class III), Chi Polypeptide","Protein Coding","P11766","54","GC04M099070","6.15179252624512","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADH5"
"CSTB","Cystatin B","Protein Coding","P04080","55","GC21M043772","6.15127515792847","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSTB"
"MIR497","MicroRNA 497","RNA Gene","","26","GC17M074819","6.14968681335449","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR497"
"MIR503","MicroRNA 503","RNA Gene","","26","GC0XM134752","6.14911890029907","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR503"
"CACNB4","Calcium Voltage-Gated Channel Auxiliary Subunit Beta 4","Protein Coding","O00305","55","GC02M151832","6.14669942855835","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNB4"
"NQO2","N-Ribosyldihydronicotinamide:Quinone Dehydrogenase 2","Protein Coding","P16083","54","GC06P006437","6.14548110961914","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NQO2"
"ORAI1","ORAI Calcium Release-Activated Calcium Modulator 1","Protein Coding","Q96D31","53","GC12P133267","6.14420413970947","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ORAI1"
"CTH","Cystathionine Gamma-Lyase","Protein Coding","P32929","56","GC01P070411","6.14377975463867","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTH"
"EARS2","Glutamyl-TRNA Synthetase 2, Mitochondrial","Protein Coding","Q5JPH6","49","GC16M025405","6.13974285125732","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EARS2"
"GCNT2","Glucosaminyl (N-Acetyl) Transferase 2 (I Blood Group)","Protein Coding","Q8N0V5","50","GC06P010492","6.1396541595459","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GCNT2"
"MSN","Moesin","Protein Coding","P26038","56","GC0XP065588","6.13790512084961","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSN"
"S100A6","S100 Calcium Binding Protein A6","Protein Coding","P06703","51","GC01M160893","6.1366286277771","https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A6"
"PXN","Paxillin","Protein Coding","P49023","53","GC12M120210","6.13299036026001","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PXN"
"CD19","CD19 Molecule","Protein Coding","P15391","60","GC16P081418","6.13293504714966","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD19"
"ITGA5","Integrin Subunit Alpha 5","Protein Coding","P08648","56","GC12M055919","6.1318244934082","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGA5"
"CLEC7A","C-Type Lectin Domain Containing 7A","Protein Coding","Q9BXN2","54","GC12M029494","6.1313271522522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLEC7A"
"PPIG","Peptidylprolyl Isomerase G","Protein Coding","Q13427","50","GC02P169584","6.12967681884766","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPIG"
"BANCR","BRAF-Activated Non-Protein Coding RNA","RNA Gene","","21","GC09M069296","6.12635469436646","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BANCR"
"PHGDH","Phosphoglycerate Dehydrogenase","Protein Coding","O43175","59","GC01P119660","6.12622356414795","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PHGDH"
"MIR152","MicroRNA 152","RNA Gene","","27","GC17M048037","6.12547969818115","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR152"
"PPP1CB","Protein Phosphatase 1 Catalytic Subunit Beta","Protein Coding","P62140","54","GC02P028766","6.12424278259277","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP1CB"
"ACP5","Acid Phosphatase 5, Tartrate Resistant","Protein Coding","P13686","55","GC19M011574","6.124107837677","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACP5"
"MMAB","Metabolism Of Cobalamin Associated B","Protein Coding","Q96EY8","52","GC12M109553","6.12405872344971","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMAB"
"GABBR2","Gamma-Aminobutyric Acid Type B Receptor Subunit 2","Protein Coding","O75899","57","GC09M098288","6.12298011779785","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GABBR2"
"CEACAM3","CEA Cell Adhesion Molecule 3","Protein Coding","P40198","51","GC19P041796","6.11986970901489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEACAM3"
"SLC22A1","Solute Carrier Family 22 Member 1","Protein Coding","O15245","52","GC06P160121","6.1194314956665","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC22A1"
"HOXA5","Homeobox A5","Protein Coding","P20719","49","GC07M028006","6.11893463134766","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOXA5"
"MS4A1","Membrane Spanning 4-Domains A1","Protein Coding","P11836","55","GC11P088664","6.11486721038818","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MS4A1"
"EPHA3","EPH Receptor A3","Protein Coding","P29320","55","GC03P089077","6.11418771743774","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPHA3"
"RBP1","Retinol Binding Protein 1","Protein Coding","P09455","48","GC03M139517","6.11307811737061","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBP1"
"PDE6G","Phosphodiesterase 6G","Protein Coding","P18545","51","GC17M081650","6.11158132553101","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDE6G"
"BAMBI","BMP And Activin Membrane Bound Inhibitor","Protein Coding","Q13145","52","GC10P028974","6.11128187179565","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAMBI"
"MIR10A","MicroRNA 10a","RNA Gene","","27","GC17M048579","6.10720586776733","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR10A"
"MAT1A","Methionine Adenosyltransferase 1A","Protein Coding","Q00266","53","GC10M080271","6.10276651382446","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAT1A"
"RNF7","Ring Finger Protein 7","Protein Coding","Q9UBF6","46","GC03P141738","6.10199499130249","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNF7"
"GLP1R","Glucagon Like Peptide 1 Receptor","Protein Coding","P43220","55","GC06P039048","6.10113334655762","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLP1R"
"CACNA1D","Calcium Voltage-Gated Channel Subunit Alpha1 D","Protein Coding","Q01668","56","GC03P053328","6.1006441116333","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA1D"
"PDCD6","Programmed Cell Death 6","Protein Coding","O75340","45","GC05P003278","6.10002565383911","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDCD6"
"RPS6KA5","Ribosomal Protein S6 Kinase A5","Protein Coding","O75582","55","GC14M090847","6.10001182556152","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS6KA5"
"SCRIB","Scribble Planar Cell Polarity Protein","Protein Coding","C0HLS1","48","GC08M146582","6.09814357757568","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCRIB"
"PDHA2","Pyruvate Dehydrogenase E1 Subunit Alpha 2","Protein Coding","P29803","52","GC04P095840","6.09796333312988","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDHA2"
"DLG1","Discs Large MAGUK Scaffold Protein 1","Protein Coding","Q12959","52","GC03M197042","6.0949912071228","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DLG1"
"BACE1","Beta-Secretase 1","Protein Coding","P56817","56","GC11M117285","6.09163904190063","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BACE1"
"OGDH","Oxoglutarate Dehydrogenase","Protein Coding","Q02218","55","GC07P044606","6.09154176712036","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OGDH"
"VTN","Vitronectin","Protein Coding","P04004","53","GC17M076385","6.08422756195068","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VTN"
"MAPK8IP1","Mitogen-Activated Protein Kinase 8 Interacting Protein 1","Protein Coding","Q9UQF2","53","GC11P047713","6.07911252975464","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK8IP1"
"INF2","Inverted Formin 2","Protein Coding","Q27J81","50","GC14P115824","6.07756567001343","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INF2"
"PSMC5","Proteasome 26S Subunit, ATPase 5","Protein Coding","P62195","51","GC17P063827","6.07721996307373","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMC5"
"HNRNPDL","Heterogeneous Nuclear Ribonucleoprotein D Like","Protein Coding","O14979","51","GC04M082422","6.07578039169312","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPDL"
"PABPC1","Poly(A) Binding Protein Cytoplasmic 1","Protein Coding","P11940","51","GC08M100685","6.07415580749512","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PABPC1"
"RARRES2","Retinoic Acid Receptor Responder 2","Protein Coding","Q99969","48","GC07M150333","6.07134437561035","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RARRES2"
"RRM2","Ribonucleotide Reductase Regulatory Subunit M2","Protein Coding","P31350","56","GC02P010211","6.06892156600952","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RRM2"
"CEACAM5","CEA Cell Adhesion Molecule 5","Protein Coding","P06731","52","GC19P113136","6.06447839736938","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEACAM5"
"MIRLET7G","MicroRNA Let-7g","RNA Gene","","26","GC03M052268","6.0641942024231","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIRLET7G"
"MIR495","MicroRNA 495","RNA Gene","","23","GC14P116772","6.06365871429443","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR495"
"CEL","Carboxyl Ester Lipase","Protein Coding","P19835","54","GC09P133061","6.06307363510132","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEL"
"HNF1A-AS1","HNF1A Antisense RNA 1","RNA Gene","","26","GC12M123604","6.06251192092896","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNF1A-AS1"
"SOX2-OT","SOX2 Overlapping Transcript","RNA Gene","","32","GC03P180989","6.06240797042847","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOX2-OT"
"YWHAG","Tyrosine 3-Monooxygenase/Tryptophan 5-Monooxygenase Activation Protein Gamma","Protein Coding","P61981","56","GC07M078603","6.06111526489258","https://www.genecards.org/cgi-bin/carddisp.pl?gene=YWHAG"
"SLC34A2","Solute Carrier Family 34 Member 2","Protein Coding","O95436","53","GC04P025648","6.06082153320313","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC34A2"
"PRKCZ","Protein Kinase C Zeta","Protein Coding","Q05513","57","GC01P020522","6.05760669708252","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKCZ"
"H1-3","H1.3 Linker Histone, Cluster Member","Protein Coding","P16402","45","GC06M094892","6.05757284164429","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H1-3"
"PTPN2","Protein Tyrosine Phosphatase Non-Receptor Type 2","Protein Coding","P17706","55","GC18M033992","6.057541847229","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPN2"
"PEX3","Peroxisomal Biogenesis Factor 3","Protein Coding","P56589","49","GC06P143450","6.05722665786743","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PEX3"
"SULT1A3","Sulfotransferase Family 1A Member 3","Protein Coding","P0DMM9","45","GC16P030199","6.05684280395508","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SULT1A3"
"TLR8","Toll Like Receptor 8","Protein Coding","Q9NR97","58","GC0XP012924","6.05132579803467","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR8"
"TRIM2","Tripartite Motif Containing 2","Protein Coding","Q9C040","49","GC04P153152","6.04629278182983","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIM2"
"MIR29B2","MicroRNA 29b-2","RNA Gene","","25","GC01M207833","6.04613590240479","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR29B2"
"HOTAIRM1","HOXA Transcript Antisense RNA, Myeloid-Specific 1","RNA Gene","","27","GC07P027095","6.04281949996948","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOTAIRM1"
"RXRG","Retinoid X Receptor Gamma","Protein Coding","P48443","50","GC01M165401","6.04145431518555","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RXRG"
"CHCHD2","Coiled-Coil-Helix-Coiled-Coil-Helix Domain Containing 2","Protein Coding","Q9Y6H1","48","GC07M056101","6.03928375244141","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHCHD2"
"CACNA1E","Calcium Voltage-Gated Channel Subunit Alpha1 E","Protein Coding","Q15878","55","GC01P181317","6.03911113739014","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA1E"
"OPRL1","Opioid Related Nociceptin Receptor 1","Protein Coding","P41146","49","GC20P064080","6.03871726989746","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OPRL1"
"TTPA","Alpha Tocopherol Transfer Protein","Protein Coding","P49638","50","GC08M063048","6.03809833526611","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TTPA"
"FAS-AS1","FAS Antisense RNA 1","RNA Gene","","21","GC10M088991","6.03754234313965","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAS-AS1"
"OCLN","Occludin","Protein Coding","Q16625","52","GC05P069492","6.03690814971924","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OCLN"
"TNFRSF21","TNF Receptor Superfamily Member 21","Protein Coding","O75509","49","GC06M047231","6.034508228302","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF21"
"PYCR2","Pyrroline-5-Carboxylate Reductase 2","Protein Coding","Q96C36","54","GC01M225919","6.03414821624756","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PYCR2"
"PLD2","Phospholipase D2","Protein Coding","O14939","54","GC17P111047","6.03390884399414","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLD2"
"MAPK7","Mitogen-Activated Protein Kinase 7","Protein Coding","Q13164","56","GC17P111585","6.03337287902832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK7"
"F2R","Coagulation Factor II Thrombin Receptor","Protein Coding","P25116","55","GC05P076716","6.03287696838379","https://www.genecards.org/cgi-bin/carddisp.pl?gene=F2R"
"HARS1","Histidyl-TRNA Synthetase 1","Protein Coding","P12081","53","GC05M140673","6.03283834457397","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HARS1"
"DIRAS3","DIRAS Family GTPase 3","Protein Coding","O95661","40","GC01M068045","6.03037357330322","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DIRAS3"
"MIR24-1","MicroRNA 24-1","RNA Gene","","25","GC09P095086","6.03004693984985","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR24-1"
"AGRP","Agouti Related Neuropeptide","Protein Coding","O00253","48","GC16M067482","6.02731466293335","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGRP"
"MAPK11","Mitogen-Activated Protein Kinase 11","Protein Coding","Q15759","54","GC22M050263","6.02472114562988","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK11"
"TRDN","Triadin","Protein Coding","Q13061","49","GC06M123198","6.02439594268799","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRDN"
"USP18","Ubiquitin Specific Peptidase 18","Protein Coding","Q9UMW8","48","GC22P069881","6.02207088470459","https://www.genecards.org/cgi-bin/carddisp.pl?gene=USP18"
"MIR483","MicroRNA 483","RNA Gene","","27","GC11M011909","6.0216178894043","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR483"
"RDX","Radixin","Protein Coding","P35241","56","GC11M109864","6.0203070640564","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RDX"
"CISH","Cytokine Inducible SH2 Containing Protein","Protein Coding","Q9NSE2","53","GC03M053819","6.01980018615723","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CISH"
"STAG2","STAG2 Cohesin Complex Component","Protein Coding","Q8N3U4","53","GC0XP123960","6.01578235626221","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAG2"
"ATP6V1A","ATPase H+ Transporting V1 Subunit A","Protein Coding","P38606","53","GC03P113777","6.01265621185303","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP6V1A"
"ADRA1A","Adrenoceptor Alpha 1A","Protein Coding","P35348","55","GC08M026747","6.01113843917847","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADRA1A"
"UBIAD1","UbiA Prenyltransferase Domain Containing 1","Protein Coding","Q9Y5Z9","50","GC01P011273","6.01062345504761","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBIAD1"
"VIPR1","Vasoactive Intestinal Peptide Receptor 1","Protein Coding","P32241","55","GC03P042490","6.01028919219971","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VIPR1"
"MT-RNR2","Mitochondrially Encoded 16S RRNA","RNA Gene","Q8IVG9","25","GCMTP000953","6.00972127914429","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-RNR2"
"GLO1","Glyoxalase I","Protein Coding","Q04760","54","GC06M093944","6.00967645645142","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLO1"
"ARID5B","AT-Rich Interaction Domain 5B","Protein Coding","Q14865","48","GC10P061901","6.00936222076416","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARID5B"
"NFATC4","Nuclear Factor Of Activated T Cells 4","Protein Coding","Q14934","50","GC14P024365","6.0065484046936","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFATC4"
"NT5E","5'-Nucleotidase Ecto","Protein Coding","P21589","60","GC06P085449","6.00593042373657","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NT5E"
"KCNA2","Potassium Voltage-Gated Channel Subfamily A Member 2","Protein Coding","P16389","55","GC01M110519","6.00515031814575","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNA2"
"AARS1","Alanyl-TRNA Synthetase 1","Protein Coding","P49588","53","GC16M073241","6.00500631332397","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AARS1"
"TMBIM6","Transmembrane BAX Inhibitor Motif Containing 6","Protein Coding","P55061","46","GC12P049707","6.00200223922729","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMBIM6"
"PAPPA-AS1","PAPPA Antisense RNA 1","RNA Gene","Q5QFB9","27","GC09M116398","5.99940633773804","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAPPA-AS1"
"MIR379","MicroRNA 379","RNA Gene","","23","GC14P116757","5.99217844009399","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR379"
"NAA10","N-Alpha-Acetyltransferase 10, NatA Catalytic Subunit","Protein Coding","P41227","54","GC0XM153929","5.99101114273071","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NAA10"
"GRK1","G Protein-Coupled Receptor Kinase 1","Protein Coding","Q15835","51","GC13P113829","5.9903769493103","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRK1"
"RALA","RAS Like Proto-Oncogene A","Protein Coding","P11233","55","GC07P039622","5.98611688613892","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RALA"
"HEY1","Hes Related Family BHLH Transcription Factor With YRPW Motif 1","Protein Coding","Q9Y5J3","51","GC08M079764","5.98313045501709","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HEY1"
"RPL7A","Ribosomal Protein L7a","Protein Coding","P62424","49","GC09P133348","5.98309183120728","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL7A"
"PAWR","Pro-Apoptotic WT1 Regulator","Protein Coding","Q96IZ0","50","GC12M079574","5.98286294937134","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAWR"
"BUB3","BUB3 Mitotic Checkpoint Protein","Protein Coding","O43684","53","GC10P123154","5.98087501525879","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BUB3"
"TJP1","Tight Junction Protein 1","Protein Coding","Q07157","54","GC15M029699","5.98013544082642","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TJP1"
"DPY30","Dpy-30 Histone Methyltransferase Complex Regulatory Subunit","Protein Coding","Q9C005","45","GC02M031867","5.97860813140869","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DPY30"
"GNAT1","G Protein Subunit Alpha Transducin 1","Protein Coding","P11488","52","GC03P057668","5.9778299331665","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNAT1"
"FSCN1","Fascin Actin-Bundling Protein 1","Protein Coding","Q16658","52","GC07P005592","5.97094869613647","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FSCN1"
"CD3D","CD3 Delta Subunit Of T-Cell Receptor Complex","Protein Coding","P04234","54","GC11M118338","5.97078466415405","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD3D"
"ATP5F1E","ATP Synthase F1 Subunit Epsilon","Protein Coding","P56381","50","GC20M059026","5.96915769577026","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP5F1E"
"GP6","Glycoprotein VI Platelet","Protein Coding","Q9HCN6","54","GC19M055013","5.96913623809814","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GP6"
"UPF1","UPF1 RNA Helicase And ATPase","Protein Coding","Q92900","50","GC19P018831","5.96882486343384","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UPF1"
"TRPM4","Transient Receptor Potential Cation Channel Subfamily M Member 4","Protein Coding","Q8TD43","51","GC19P049157","5.96873712539673","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRPM4"
